City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
527,shush,32.1942,48.2436,293.27,61,51,4.4,IR,1669850360
528,buala,-8.145,159.5921,300.94,77,100,2.2,SB,1669850360
529,partur,19.6,76.2167,289.04,55,71,1.69,IN,1669850360
530,porto novo,6.4965,2.6036,301.05,84,65,2.75,BJ,1669850360
531,kangaatsiaq,68.3065,-53.4641,265.54,80,100,13.16,GL,1669850361
532,kupino,54.3663,77.2981,252.36,84,14,3.51,RU,1669850361
533,naze,28.3667,129.4833,288.66,75,100,8.31,JP,1669850361
534,vao,-22.6667,167.4833,298.96,82,82,2.84,NC,1669850361
535,xihe,31.6864,113.4659,271.58,43,45,2.35,CN,1669850361
536,antalaha,-14.9003,50.2788,294.67,91,7,1.75,MG,1669850361
537,kloulklubed,7.0419,134.2556,301.43,76,98,7.99,PW,1669850362
538,abu zabad,12.35,29.25,298.28,20,23,4.57,SD,1669850362
539,hambantota,6.1241,81.1185,297.26,90,100,3.46,LK,1669850362
540,kambove,-10.8764,26.5969,288.46,96,31,1.31,CD,1669850362
541,port-cartier,50.0334,-66.8654,271.34,79,100,7.43,CA,1669850362
542,san cristobal,7.7669,-72.225,294.25,94,63,2.06,VE,1669850076
543,guaruja,-23.9931,-46.2564,298.09,26,100,2.68,BR,1669850267
544,borogontsy,62.6683,131.1683,239.85,97,100,1.59,RU,1669850362
545,la palma,33.8464,-118.0467,291.88,66,75,4.63,US,1669850363
546,santa clara,22.4,-79.9667,298.96,83,40,4.63,CU,1669850126
547,salekhard,66.53,66.6019,250.46,100,7,0.95,RU,1669850363
548,marzuq,14.4,46.4667,289.17,72,0,0.7,YE,1669850363
549,carutapera,-1.195,-46.02,298.92,80,77,2.23,BR,1669850364
